id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,pupil_teach_ratio,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,pupil_teach_ratio_normalized
100001600143,0.117962466487936,0.445283018867925,0.346494762288477,42820.0,20.4334554334554,0.0669014084507042,2016-2017,DE,19804,Regular School,High,Yes,23.36,0.38010817867087987,-0.7744844987994436,-1.4670040446927697,1.6858148879755128
100008000024,0.0639844886088221,0.66276459268762,0.767619047619048,89320.0,19.4981684981685,0.112412177985948,2016-2017,DE,19709,Regular School,High,No,17.23,-0.5739680193986586,0.5442424543854036,-1.2727050981040533,0.2370752713979374
100008000225,0.0564599930723935,0.701864406779661,0.713090418353576,84140.0,19.5543345543346,0.096816114359974,2016-2017,DE,19709,Regular School,High,No,17.24,-0.7069656301995777,0.7813291086802594,-1.3392893102455479,0.23943863129447457
100017000029,0.0447385003150599,0.69206204379562,0.64128256513026,56500.0,17.7374847374847,0.296960249415433,2016-2017,DE,19958,Regular School,High,No,14.35,-0.9141463673265176,0.7218912443825084,-0.484814753908492,-0.44357237880490424
100018000040,0.0770135214579659,0.640060240963855,0.834401709401709,54015.0,18.2454212454212,0.262641138929799,2016-2017,DE,19934,Regular School,High,No,14.9,-0.34367613715969564,0.4065717540733837,-0.6313331952206429,-0.31358758449533364
100019000050,0.0801201802704056,0.673491975650249,0.483333333333333,50649.0,17.034188034188,0.425117924528302,2016-2017,DE,19904,Regular School,High,No,16.04,-0.2887650540674449,0.609289293993448,0.062328296538193946,-0.044164556290042525
100020000238,0.0750577367205543,0.750750750750751,0.514605179979583,12825.0,18.3870573870574,0.338928340865074,2016-2017,DE,19711,Regular School,High,No,15.33,-0.37824519179695926,1.077757621243763,-0.30564054871977536,-0.21196310894421502
100020000239,0.0754244364041191,0.616605270614905,0.595445411922304,59861.0,15.5445665445665,0.372116349047141,2016-2017,DE,19702,Regular School,High,No,16.5,-0.3717636700046399,0.2643495830541726,-0.16395111795417064,0.0645499989506893
100020000240,0.114201183431953,0.594220349187237,0.672058823529412,62078.0,14.980463980464,0.352800953516091,2016-2017,DE,19713,Regular School,High,No,14.79,0.31362642483504044,0.1286157886313664,-0.24641425894151672,-0.339584543357248
100023000209,0.0399305555555556,0.54045643153527,0.840810419681621,61031.0,15.1050061050061,0.35893918609968,2016-2017,DE,19720,Regular School,High,No,16.16,-0.9991281661436081,-0.19738850714055786,-0.2202083270909404,-0.015804237531590562
100027000080,0.092850049652433,0.552924117931368,0.433151432469304,55347.0,17.8522588522588,0.171474358974359,2016-2017,DE,19940,Regular School,High,No,17.7,-0.06376097167802319,-0.12178911816417778,-1.0205511647280532,0.3481531865352064
100068000085,0.107710189848896,0.465486725663717,0.513728323699422,46644.0,18.008547008547,0.304395604395604,2016-2017,DE,19945,Regular School,High,No,14.49,0.19889625666745794,-0.6519767744073828,-0.4530710225914106,-0.4104853402533771
100068000090,0.0533126293995859,0.415671870217325,0.618326693227092,59500.0,16.0720390720391,0.447068403908795,2016-2017,DE,19947,Regular School,High,No,15.36,-0.7625961833414425,-0.9540354334118777,0.15604139047839466,-0.20487302925460224
100079000095,0.139567835635848,0.53248136315229,0.508990318118949,40625.0,17.1782661782662,0.389887640449438,2016-2017,DE,19943,Regular School,High,No,15.06,0.761989258037967,-0.24574634015333158,-0.08808021455594446,-0.2757738261507313
100081000100,0.0787576261785912,0.431226765799257,0.463045414069457,39428.0,16.1648351648352,0.465553235908142,2016-2017,DE,19956,Regular School,High,No,16.56,-0.3128485873649268,-0.8597163621563246,0.23495860989744183,0.07873015832991485
100108000111,0.0931768158473955,0.303550295857988,0.689839572192513,37917.0,17.2905982905983,0.354623450905624,2016-2017,DE,19963,Regular School,High,No,15.26,-0.057985285718729414,-1.633898741113336,-0.23863347811616212,-0.2285066282199786
100124000242,0.0617283950617284,0.856205250596659,0.96078431372549,105708.0,17.969474969475,0.299447513812155,2016-2017,DE,19803,Regular School,High,No,12.54,-0.6138451181429088,1.7171942817339971,-0.4741958859546891,-0.8713405200782178
100124000246,0.0339188370684434,0.788472964943553,0.692429022082019,102383.0,18.3137973137973,0.283914728682171,2016-2017,DE,19809,Regular School,High,No,13.94,-1.1053870099056622,1.3064910247968462,-0.5405099434660131,-0.5404701345629477
100124000247,0.0657681940700809,0.719058823529412,0.710382513661202,86429.0,18.970695970696,0.165605095541401,2016-2017,DE,19810,Regular School,High,No,16.47,-0.5424405151863869,0.8855896233250002,-1.04560878765821,0.057459919261076096
100130000274,0.0820209973753281,0.826745718050066,0.66328125,95065.0,15.5714285714286,0.447880870561283,2016-2017,DE,19808,Regular School,High,No,13.8,-0.2551675680565485,1.5385626904911154,0.15951005111254707,-0.5735571731144744
100130000276,0.0280373831775701,0.811893203883495,0.835630965005302,151750.0,18.7704517704518,0.302702702702703,2016-2017,DE,19807,Regular School,High,No,16.34,-1.2093433896702501,1.4485025975369632,-0.46029852102679064,0.02673624060608696
100153000158,0.075028636884307,0.533549783549784,0.63972602739726,57929.0,15.6153846153846,0.533715925394548,2016-2017,DE,19973,Regular School,High,No,13.15,-0.37875953972591364,-0.23926783831631662,0.5259653078528846,-0.7271755663894213
100162000299,0.102544625902013,0.503243427791055,0.535479151426481,51103.0,17.026862026862,0.28099173553719,2016-2017,DE,19977,Regular School,High,No,15.13,0.1075934364253871,-0.4230342489133758,-0.5529890664242842,-0.25923030687496773
